feature,importance,importance_pct
num__Latitude,5197,16.76451612903226
num__Longitude,5055,16.306451612903224
num__AveOccup,4180,13.483870967741934
num__MedInc,3794,12.238709677419354
num__Population,3481,11.229032258064516
num__AveRooms,3330,10.741935483870968
num__AveBedrms,3114,10.04516129032258
num__HouseAge,2849,9.190322580645162
